                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.296,                 1.0276,                 1.2237,                0.61186,                0.41176,                0.67176,                0.39461,                  1.415,                 1.8096,                 1.2669,             0.00057375,             0.00057375,             0.00057375
                     35,                 1.3915,                 1.0954,                 1.2289,                0.60672,                0.54473,                 0.7361,                0.38751,                 1.4887,                 1.7881,                 1.3252,             0.00058844,             0.00058844,             0.00058844
                     36,                 1.2765,                0.95047,                 1.1587,                0.60672,                0.54473,                 0.7361,                0.38751,                 1.4887,                 1.7881,                 1.3252,             0.00060298,             0.00060298,             0.00060298
                     37,                   1.22,                0.98448,                 1.1947,                0.57996,                0.60931,                0.71327,                0.35476,                 1.5318,                 1.8656,                 1.3776,             0.00061736,             0.00061736,             0.00061736
                     38,                 1.1713,                0.92873,                 1.1239,                0.57996,                0.60931,                0.71327,                0.35476,                 1.5318,                 1.8656,                 1.3776,             0.00063158,             0.00063158,             0.00063158
                     39,                 1.1504,                0.95505,                 1.1342,                0.46403,                0.58824,                0.53803,                0.31591,                 1.4821,                 1.9502,                  1.371,             0.00064564,             0.00064564,             0.00064564
                     40,                 1.0985,                0.99578,                 1.1661,                0.46403,                0.58824,                0.53803,                0.31591,                 1.4821,                 1.9502,                  1.371,             0.00065954,             0.00065954,             0.00065954
                     41,                 1.4282,                 1.0626,                 1.2659,                 0.5078,                0.76471,                0.65971,                0.36353,                 1.4464,                 1.7398,                 1.3019,             0.00067328,             0.00067328,             0.00067328
                     42,                 1.2108,                 1.1123,                 1.2037,                 0.5078,                0.76471,                0.65971,                0.36353,                 1.4464,                 1.7398,                 1.3019,             0.00068686,             0.00068686,             0.00068686
                     43,                 1.1557,                0.91742,                 1.1512,                0.54258,                0.76758,                 0.6835,                 0.3883,                 1.4313,                 1.6133,                 1.2502,             0.00070029,             0.00070029,             0.00070029
                     44,                 1.2888,                0.96018,                 1.1968,                0.54258,                0.76758,                 0.6835,                 0.3883,                 1.4313,                 1.6133,                 1.2502,             0.00071356,             0.00071356,             0.00071356
                     45,                  1.229,                0.98783,                 1.1479,                    0.6,                0.76471,                 0.7432,                 0.4332,                 1.3889,                 1.5309,                 1.2331,             0.00072667,             0.00072667,             0.00072667
                     46,                 1.1439,                0.95116,                 1.1791,                    0.6,                0.76471,                 0.7432,                 0.4332,                 1.3889,                 1.5309,                 1.2331,             0.00073962,             0.00073962,             0.00073962
                     47,                 1.0997,                0.89482,                 1.1023,                0.56006,                0.79412,                0.72201,                0.41735,                 1.4387,                  1.568,                 1.2785,             0.00075241,             0.00075241,             0.00075241
                     48,                   1.19,                0.90744,                 1.1532,                0.56006,                0.79412,                0.72201,                0.41735,                 1.4387,                  1.568,                 1.2785,             0.00076505,             0.00076505,             0.00076505
                     49,                 1.1525,                0.90026,                 1.1461,                0.51062,                0.73529,                0.67605,                0.38549,                 1.4785,                 1.5868,                 1.2852,             0.00077752,             0.00077752,             0.00077752
                     50,                   1.22,                0.93349,                 1.1249,                0.51062,                0.73529,                0.67605,                0.38549,                 1.4785,                 1.5868,                 1.2852,             0.00078984,             0.00078984,             0.00078984
                     51,                 1.0959,                0.95513,                 1.1768,                0.52186,                0.64706,                0.61035,                0.34541,                 1.4647,                 1.6634,                 1.2922,               0.000802,               0.000802,               0.000802
                     52,                 1.0517,                 0.9527,                 1.1211,                0.52186,                0.64706,                0.61035,                0.34541,                 1.4647,                 1.6634,                 1.2922,               0.000814,               0.000814,               0.000814
                     53,                 1.3341,                0.97152,                 1.2037,                 0.4445,                0.77676,                0.51225,                0.29205,                 1.5146,                 1.7292,                 1.3719,             0.00082584,             0.00082584,             0.00082584
                     54,                 1.2202,                0.96524,                 1.1687,                 0.4445,                0.77676,                0.51225,                0.29205,                 1.5146,                 1.7292,                 1.3719,             0.00083753,             0.00083753,             0.00083753
                     55,                 1.0967,                  0.893,                 1.1402,                 0.4399,                0.73529,                0.53321,                0.29253,                 1.6026,                 1.7268,                 1.4493,             0.00084905,             0.00084905,             0.00084905
                     56,                  1.051,                0.84576,                 1.1195,                 0.4399,                0.73529,                0.53321,                0.29253,                 1.6026,                 1.7268,                 1.4493,             0.00086042,             0.00086042,             0.00086042
                     57,                 1.0525,                0.89379,                 1.1416,                 0.4399,                0.73529,                0.53321,                0.29253,                 1.6026,                 1.7268,                 1.4493,             0.00087163,             0.00087163,             0.00087163
                     58,                 1.2507,                0.93457,                 1.1755,                0.64999,                0.76469,                0.69983,                0.39647,                 1.5046,                  1.568,                 1.3819,             0.00088268,             0.00088268,             0.00088268
                     59,                 1.1858,                0.89317,                 1.1333,                0.64999,                0.76469,                0.69983,                0.39647,                 1.5046,                  1.568,                 1.3819,             0.00089357,             0.00089357,             0.00089357
                     60,                 1.1597,                 0.9096,                 1.1198,                0.64999,                0.76469,                0.69983,                0.39647,                 1.5046,                  1.568,                 1.3819,              0.0009043,              0.0009043,              0.0009043
                     61,                 1.2213,                0.88961,                 1.1716,                0.76799,                0.82353,                0.86191,                0.52218,                 1.4409,                 1.4203,                 1.3904,             0.00091488,             0.00091488,             0.00091488
                     62,                 1.2018,                0.93634,                 1.1391,                0.76799,                0.82353,                0.86191,                0.52218,                 1.4409,                 1.4203,                 1.3904,              0.0009253,              0.0009253,              0.0009253
                     63,                 1.1369,                0.92919,                 1.1414,                0.76799,                0.82353,                0.86191,                0.52218,                 1.4409,                 1.4203,                 1.3904,             0.00093556,             0.00093556,             0.00093556
                     64,                  1.088,                0.90163,                 1.1083,                0.77923,                0.82353,                0.86136,                 0.5278,                 1.4414,                 1.4188,                 1.3771,             0.00094566,             0.00094566,             0.00094566
                     65,                 0.9955,                0.88813,                 1.1143,                0.77923,                0.82353,                0.86136,                 0.5278,                 1.4414,                 1.4188,                 1.3771,              0.0009556,              0.0009556,              0.0009556
                     66,                 1.0486,                0.87364,                  1.111,                0.77923,                0.82353,                0.86136,                 0.5278,                 1.4414,                 1.4188,                 1.3771,             0.00096538,             0.00096538,             0.00096538
                     67,                 1.0954,                0.90187,                 1.1366,                0.83743,                0.90909,                0.90873,                 0.5707,                 1.3824,                  1.394,                 1.3429,               0.000975,               0.000975,               0.000975
                     68,                 1.1354,                0.87826,                 1.1393,                0.83743,                0.90909,                0.90873,                 0.5707,                 1.3824,                  1.394,                 1.3429,             0.00098447,             0.00098447,             0.00098447
                     69,                 1.0847,                0.85019,                  1.114,                0.83743,                0.90909,                0.90873,                 0.5707,                 1.3824,                  1.394,                 1.3429,             0.00099378,             0.00099378,             0.00099378
                     70,                 1.1553,                0.89339,                 1.1335,                0.88134,                0.87402,                0.90002,                0.55103,                 1.4234,                 1.4222,                 1.3721,              0.0010029,              0.0010029,              0.0010029
                     71,                 1.0098,                0.87798,                  1.134,                0.88134,                0.87402,                0.90002,                0.55103,                 1.4234,                 1.4222,                 1.3721,              0.0010119,              0.0010119,              0.0010119
                     72,                0.92569,                 0.8492,                 1.0481,                0.88134,                0.87402,                0.90002,                0.55103,                 1.4234,                 1.4222,                 1.3721,              0.0010208,              0.0010208,              0.0010208
                     73,                  1.009,                  0.852,                 1.0913,                0.86384,                0.82353,                0.89706,                0.55478,                 1.4195,                 1.4325,                 1.3781,              0.0010294,              0.0010294,              0.0010294
                     74,                  1.032,                0.89753,                 1.0771,                0.86384,                0.82353,                0.89706,                0.55478,                 1.4195,                 1.4325,                 1.3781,              0.0010379,              0.0010379,              0.0010379
