                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1036,                0.44849,                0.96634,                0.98827,                0.98819,                0.99348,                0.81253,                0.74237,                0.32864,                0.88114,              0.0033284,              0.0033284,              0.0033284
                      2,                0.71818,                0.34254,                0.86197,                0.99137,                0.98874,                0.99405,                0.89606,                0.52791,                0.26558,                0.83712,              0.0066397,              0.0066397,              0.0066397
                      3,                0.62147,                0.31202,                0.84265,                0.99155,                0.98316,                0.99401,                0.90635,                0.47907,                0.25901,                0.83152,              0.0099291,              0.0099291,              0.0099291
                      4,                0.62003,                0.32143,                 0.8429,                0.99305,                 0.9881,                0.99431,                0.91952,                0.42712,                0.24681,                0.82846,               0.009901,               0.009901,               0.009901
                      5,                 0.5821,                0.30797,                0.83713,                0.99418,                0.98902,                0.99439,                0.92779,                0.42599,                0.25008,                0.82314,               0.009868,               0.009868,               0.009868
                      6,                0.55964,                0.30052,                 0.8341,                0.99344,                0.99024,                0.99437,                0.93651,                0.38861,                0.23259,                0.82036,               0.009835,               0.009835,               0.009835
                      7,                0.54502,                0.29522,                0.83197,                0.99324,                0.99141,                0.99452,                 0.9386,                0.37587,                0.22907,                0.82036,               0.009802,               0.009802,               0.009802
                      8,                0.53081,                0.29008,                0.82861,                0.99436,                0.99037,                 0.9943,                0.94472,                0.35869,                0.22051,                0.81737,               0.009769,               0.009769,               0.009769
                      9,                0.52082,                0.28588,                0.82803,                 0.9946,                0.99311,                0.99462,                0.94529,                 0.3431,                0.21188,                0.81716,               0.009736,               0.009736,               0.009736
                     10,                0.51894,                 0.2843,                0.82808,                0.99404,                0.99335,                0.99464,                0.94831,                0.32697,                0.20144,                 0.8148,               0.009703,               0.009703,               0.009703
                     11,                 0.5049,                0.27934,                0.82501,                0.99481,                0.99321,                 0.9947,                0.95237,                0.34244,                 0.2116,                0.81592,                0.00967,                0.00967,                0.00967
                     12,                0.49983,                0.27681,                0.82456,                0.99496,                 0.9942,                0.99473,                0.94851,                 0.3331,                0.21648,                0.81193,               0.009637,               0.009637,               0.009637
                     13,                 0.4951,                0.27552,                0.82345,                0.99541,                0.99409,                0.99469,                0.95428,                0.31537,                0.20599,                0.80976,               0.009604,               0.009604,               0.009604
                     14,                0.49144,                0.27373,                0.82325,                0.99517,                0.99407,                0.99473,                0.95553,                0.30407,                0.19895,                0.81021,               0.009571,               0.009571,               0.009571
                     15,                0.49091,                 0.2726,                0.82275,                0.99489,                0.99463,                0.99454,                0.95733,                0.29341,                 0.1975,                0.80883,               0.009538,               0.009538,               0.009538
                     16,                0.48142,                0.26889,                0.82131,                 0.9943,                0.99404,                0.99456,                0.96016,                0.29255,                 0.1929,                 0.8089,               0.009505,               0.009505,               0.009505
                     17,                0.47808,                0.26735,                0.82081,                0.99546,                0.99535,                0.99472,                0.96209,                0.27684,                 0.1883,                0.80691,               0.009472,               0.009472,               0.009472
