                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36214,                0.26261,                0.80847,                0.99508,                0.99669,                0.99486,                0.96081,                0.29912,                0.21589,                0.80482,             0.00064607,             0.00064607,             0.00064607
                     37,                0.35909,                0.25915,                0.80842,                0.99549,                0.99571,                0.99484,                0.95449,                0.31069,                0.21008,                0.80189,             0.00064058,             0.00064058,             0.00064058
                     38,                0.35811,                0.25885,                0.80679,                0.99486,                0.99861,                0.99494,                0.95916,                0.29734,                0.21565,                0.80448,             0.00063508,             0.00063508,             0.00063508
                     39,                0.35405,                0.25532,                0.80959,                0.99587,                0.99535,                0.99489,                0.95771,                0.31371,                0.21469,                0.80265,             0.00062958,             0.00062958,             0.00062958
                     40,                0.35607,                0.25662,                0.80834,                0.99471,                 0.9971,                0.99494,                0.95766,                0.29906,                0.20698,                0.80583,             0.00062408,             0.00062408,             0.00062408
                     41,                0.35511,                0.25423,                0.80628,                0.99695,                  0.997,                0.99496,                0.96038,                0.29111,                0.20765,                 0.8009,             0.00061859,             0.00061859,             0.00061859
                     42,                0.35666,                0.25335,                0.80718,                0.99698,                0.99799,                0.99497,                0.95902,                0.29011,                0.21054,                0.80136,             0.00061309,             0.00061309,             0.00061309
                     43,                0.34813,                0.24869,                0.80492,                0.99606,                 0.9985,                 0.9949,                0.95647,                0.30885,                0.19974,                0.80125,             0.00060759,             0.00060759,             0.00060759
                     44,                0.34819,                0.24741,                0.80541,                0.99669,                0.99804,                0.99498,                0.96151,                0.28519,                0.19895,                0.80061,             0.00060209,             0.00060209,             0.00060209
                     45,                0.34234,                0.24595,                0.80298,                0.99765,                0.99781,                0.99496,                0.96123,                0.27639,                0.18846,                0.79726,             0.00059659,             0.00059659,             0.00059659
                     46,                0.34183,                0.24349,                0.80589,                0.99702,                0.99739,                0.99495,                0.96054,                0.28902,                0.21057,                0.80277,              0.0005911,              0.0005911,              0.0005911
                     47,                0.34292,                0.24649,                0.80356,                0.99764,                0.99841,                0.99492,                0.96589,                0.27895,                0.19664,                 0.8008,              0.0005856,              0.0005856,              0.0005856
                     48,                 0.3435,                0.24515,                0.80562,                0.99745,                 0.9984,                0.99493,                0.96258,                 0.2844,                 0.1992,                0.79772,              0.0005801,              0.0005801,              0.0005801
                     49,                0.33714,                0.23912,                0.80422,                0.99711,                0.99818,                0.99496,                0.96328,                0.27699,                0.18871,                 0.7952,              0.0005746,              0.0005746,              0.0005746
                     50,                0.33594,                 0.2392,                0.80439,                 0.9976,                0.99857,                0.99497,                0.96335,                0.27573,                0.19551,                0.79776,             0.00056911,             0.00056911,             0.00056911
                     51,                0.33909,                 0.2402,                0.80436,                0.99728,                 0.9974,                0.99495,                0.96561,                0.26897,                0.19405,                0.79715,             0.00056361,             0.00056361,             0.00056361
                     52,                0.33054,                0.23621,                0.80184,                 0.9976,                0.99795,                0.99494,                0.96711,                0.25922,                0.19131,                0.79462,             0.00055811,             0.00055811,             0.00055811
                     53,                0.33295,                0.23629,                0.80303,                0.99759,                0.99855,                0.99492,                0.96841,                0.26612,                0.19002,                 0.7954,             0.00055261,             0.00055261,             0.00055261
                     54,                0.33181,                0.23726,                0.80245,                0.99695,                0.99902,                0.99495,                0.96779,                0.25529,                0.18492,                0.79429,             0.00054711,             0.00054711,             0.00054711
                     55,                0.32979,                0.23699,                0.80075,                0.99692,                0.99838,                0.99495,                0.96738,                0.26604,                0.19175,                0.79674,             0.00054162,             0.00054162,             0.00054162
                     56,                0.33093,                0.23412,                0.80194,                0.99804,                0.99832,                0.99496,                0.96291,                0.27675,                0.18617,                0.79592,             0.00053612,             0.00053612,             0.00053612
                     57,                0.32828,                0.23343,                 0.8034,                0.99798,                0.99863,                0.99494,                0.96566,                0.26175,                0.18845,                0.79368,             0.00053062,             0.00053062,             0.00053062
                     58,                0.32829,                0.23313,                0.80333,                0.99896,                0.99768,                0.99496,                0.97001,                 0.2557,                0.18072,                0.79293,             0.00052512,             0.00052512,             0.00052512
                     59,                0.32456,                0.22997,                0.80129,                0.99844,                0.99859,                0.99497,                0.96733,                0.26547,                0.18143,                0.79296,             0.00051963,             0.00051963,             0.00051963
                     60,                 0.3207,                0.22984,                0.79935,                0.99732,                0.99857,                0.99496,                0.96538,                0.25792,                0.17696,                0.79382,             0.00051413,             0.00051413,             0.00051413
                     61,                0.31747,                0.22687,                0.80176,                0.99802,                0.99843,                0.99498,                0.96783,                0.25428,                0.17814,                0.79644,             0.00050863,             0.00050863,             0.00050863
                     62,                0.32046,                0.22812,                0.80171,                 0.9975,                0.99841,                0.99496,                0.96818,                0.25483,                0.17758,                0.79515,             0.00050313,             0.00050313,             0.00050313
                     63,                0.32237,                0.22796,                0.80089,                0.99738,                0.99876,                0.99494,                0.96858,                0.25243,                0.17437,                0.79385,             0.00049763,             0.00049763,             0.00049763
                     64,                0.31706,                0.22564,                0.80044,                0.99807,                0.99874,                0.99496,                0.96775,                0.26011,                0.18523,                0.79588,             0.00049214,             0.00049214,             0.00049214
                     65,                0.32155,                0.22661,                0.80006,                0.99808,                0.99891,                0.99494,                0.96773,                0.25843,                0.17596,                0.79407,             0.00048664,             0.00048664,             0.00048664
                     66,                0.31567,                0.22405,                0.80115,                0.99744,                0.99887,                0.99496,                0.96936,                0.24888,                0.17364,                0.79164,             0.00048114,             0.00048114,             0.00048114
                     67,                0.31573,                0.22407,                0.79954,                0.99735,                0.99858,                0.99496,                0.96953,                0.25414,                0.17952,                0.79527,             0.00047564,             0.00047564,             0.00047564
                     68,                0.30898,                0.22147,                0.79827,                0.99818,                0.99889,                0.99496,                0.97008,                0.24795,                0.17914,                0.79255,             0.00047015,             0.00047015,             0.00047015
